Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Kerrigan Infested
Conversation/DEBUG_FaceAnimTest/Line00001=Angry full
Conversation/DEBUG_FaceAnimTest/Line00002=Angry half
Conversation/DEBUG_FaceAnimTest/Line00003=Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00004=Fear full
Conversation/DEBUG_FaceAnimTest/Line00005=Fear half
Conversation/DEBUG_FaceAnimTest/Line00006=Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00007=Happy full
Conversation/DEBUG_FaceAnimTest/Line00008=Happy half
Conversation/DEBUG_FaceAnimTest/Line00009=Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00010=Sad full
Conversation/DEBUG_FaceAnimTest/Line00011=Sad half
Conversation/DEBUG_FaceAnimTest/Line00012=Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00013=Serious full
Conversation/DEBUG_FaceAnimTest/Line00014=Serious half
Conversation/DEBUG_FaceAnimTest/Line00015=Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00016=Surprised full
Conversation/DEBUG_FaceAnimTest/Line00017=Surprised half
Conversation/DEBUG_FaceAnimTest/Line00018=Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00019=Angry full
Conversation/DEBUG_FaceAnimTest/Line00020=Angry half
Conversation/DEBUG_FaceAnimTest/Line00021=Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00022=Fear full
Conversation/DEBUG_FaceAnimTest/Line00023=Fear half
Conversation/DEBUG_FaceAnimTest/Line00024=Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00025=Happy full
Conversation/DEBUG_FaceAnimTest/Line00026=Happy half
Conversation/DEBUG_FaceAnimTest/Line00027=Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00028=Sad full
Conversation/DEBUG_FaceAnimTest/Line00029=Sad half
Conversation/DEBUG_FaceAnimTest/Line00030=Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00031=Serious full
Conversation/DEBUG_FaceAnimTest/Line00032=Serious half
Conversation/DEBUG_FaceAnimTest/Line00033=Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00034=Surprised full
Conversation/DEBUG_FaceAnimTest/Line00035=Surprised half
Conversation/DEBUG_FaceAnimTest/Line00036=Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00037=Angry full
Conversation/DEBUG_FaceAnimTest/Line00038=Angry half
Conversation/DEBUG_FaceAnimTest/Line00039=Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00040=Fear full
Conversation/DEBUG_FaceAnimTest/Line00041=Fear half
Conversation/DEBUG_FaceAnimTest/Line00042=Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00043=Happy full
Conversation/DEBUG_FaceAnimTest/Line00044=Happy half
Conversation/DEBUG_FaceAnimTest/Line00045=Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00046=Sad full
Conversation/DEBUG_FaceAnimTest/Line00047=Sad half
Conversation/DEBUG_FaceAnimTest/Line00048=Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00049=Serious full
Conversation/DEBUG_FaceAnimTest/Line00050=Serious half
Conversation/DEBUG_FaceAnimTest/Line00051=Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00052=Surprised full
Conversation/DEBUG_FaceAnimTest/Line00053=Surprised half
Conversation/DEBUG_FaceAnimTest/Line00054=Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00055=Angry full
Conversation/DEBUG_FaceAnimTest/Line00056=Angry half
Conversation/DEBUG_FaceAnimTest/Line00057=Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00058=Fear full
Conversation/DEBUG_FaceAnimTest/Line00059=Fear half
Conversation/DEBUG_FaceAnimTest/Line00060=Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00061=Happy full
Conversation/DEBUG_FaceAnimTest/Line00062=Happy half
Conversation/DEBUG_FaceAnimTest/Line00063=Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00064=Sad full
Conversation/DEBUG_FaceAnimTest/Line00065=Sad half
